Nivell:Curs:Matèria:Saber bàsic
Educació Primària:1r:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. Procediments d'indagació adequats a les necessitats de la recerca (observació en el temps, identificació i classificació, cerca de patrons, formulació de preguntes…).
Educació Primària:1r:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. Instruments i dispositius apropiats per realitzar observacions i mesuraments d'acord amb les necessitats de les diferents recerques.
Educació Primària:1r:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. Vocabulari científic bàsic relacionat amb les diferents recerques.
Educació Primària:1r:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. Foment de la curiositat i la iniciativa en la realització de les diferents recerques.
Educació Primària:1r:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. Estils de vida sostenible i importància de la cura del planeta a través del coneixement científic present en la vida quotidiana.
Educació Primària:2n:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. Procediments d'indagació adequats a les necessitats de la recerca (observació en el temps, identificació i classificació, cerca de patrons, formulació de preguntes…).
Educació Primària:2n:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. 1.2 Instruments i dispositius apropiats per realitzar observacions i mesuraments d'acord amb les necessitats de les diferents recerques.
Educació Primària:2n:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. 1.3 Vocabulari científic bàsic relacionat amb les diferents recerques.
Educació Primària:2n:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. 1.4 Foment de la curiositat i la iniciativa en la realització de les diferents recerques.
Educació Primària:2n:Coneixement del medi natural social i cultural:CMED SB A. CULTURA CIENTÍFICA. 1. Iniciació a l’activitat científica. 1.5 Estils de vida sostenible i importància de la cura del planeta a través del coneixement científic present en la vida quotidiana.
